Optimal Field,Multiple,Empty Fields,Heighest in the Edge,Left Column,Lost Situation,32,64,128,256,512,1024,2048,4096,8192
1.8000001,0.70000005,2.5,0.0,0.0,3.0,0,0,0,0,7,10,3,0,0,
1.8000001,0.70000005,3.0,0.0,0.0,1.0,0,0,0,1,2,11,6,0,0,
1.8000001,0.70000005,3.0,0.0,0.0,1.5,0,0,0,0,5,7,8,0,0,
1.8000001,0.70000005,3.0,0.0,0.0,2.0,0,0,0,0,6,10,4,0,0,
1.8000001,0.70000005,3.0,0.0,0.0,2.5,0,0,0,2,2,10,6,0,0,
1.8000001,0.70000005,3.0,0.0,0.0,3.0,0,0,0,0,3,11,6,0,0,
1.9000001,0.4,1.5,0.0,0.0,1.0,0,0,0,0,6,12,2,0,0,
1.9000001,0.4,1.5,0.0,0.0,1.5,0,0,0,1,4,10,4,1,0,
1.9000001,0.4,1.5,0.0,0.0,2.0,0,0,0,0,7,10,3,0,0,
1.9000001,0.4,1.5,0.0,0.0,2.5,0,0,0,1,3,9,7,0,0,
1.9000001,0.4,1.5,0.0,0.0,3.0,0,0,0,0,5,12,3,0,0,
1.9000001,0.4,2.0,0.0,0.0,1.0,0,0,0,0,7,9,4,0,0,
1.9000001,0.4,2.0,0.0,0.0,1.5,0,0,0,0,4,12,4,0,0,
1.9000001,0.4,2.0,0.0,0.0,2.0,0,0,0,0,4,12,4,0,0,
1.9000001,0.4,2.0,0.0,0.0,2.5,0,0,0,1,4,8,7,0,0,
1.9000001,0.4,2.0,0.0,0.0,3.0,0,0,0,0,3,9,8,0,0,
1.9000001,0.4,2.5,0.0,0.0,1.0,0,0,0,0,4,11,5,0,0,
1.9000001,0.4,2.5,0.0,0.0,1.5,0,0,0,0,2,9,8,1,0,
1.9000001,0.4,2.5,0.0,0.0,2.0,0,0,0,0,2,11,7,0,0,
1.9000001,0.4,2.5,0.0,0.0,2.5,0,0,0,0,4,10,6,0,0,
1.9000001,0.4,2.5,0.0,0.0,3.0,0,0,0,0,6,10,4,0,0,
1.9000001,0.4,3.0,0.0,0.0,1.0,0,0,0,1,4,10,5,0,0,
1.9000001,0.4,3.0,0.0,0.0,1.5,0,0,0,0,0,11,8,1,0,
1.9000001,0.4,3.0,0.0,0.0,2.0,0,0,0,0,4,7,9,0,0,
1.9000001,0.4,3.0,0.0,0.0,2.5,0,0,0,0,5,11,4,0,0,
1.9000001,0.4,3.0,0.0,0.0,3.0,0,0,0,0,4,10,6,0,0,
1.9000001,0.5,1.5,0.0,0.0,1.0,0,0,0,3,5,7,5,0,0,
